cell,cluster
HNSCC25_P12_H09_S189_comb,T_cell
HNSCC25_P12_G07_S175_comb,T_cell
HNSCC25_P12_H11_S191_comb,T_cell
HNSCC25_P12_G04_S172_comb,T_cell
HNSCC25_P12_E05_S149_comb,T_cell
HNSCC25_P4_B11_S215_comb,myofibroblast
HNSCC25_P4_F05_S257_comb,malignant
HNSCC25_P4_D10_S238_comb,myofibroblast
HNSCC25_P12_A09_S105_comb,T_cell
HNSCC25_P4_B08_S212_comb,myofibroblast
HNSCC25_P4_C09_S225_comb,myofibroblast
HNSCC25_P12_G09_S177_comb,T_cell
HNSCC25_P12_B12_S120_comb,T_cell
HNSCC25_P4_C01_S217_comb,malignant
HNSCC25_P12_A02_S98_comb,T_cell
HNSCC25_P12_G08_S176_comb,T_cell
HNSCC25_P12_C08_S128_comb,T_cell
HNSCC25_P12_D06_S138_comb,T_cell
HNSCC25_P12_G11_S179_comb,T_cell
HNSCC25_P4_H06_S282_comb,malignant
HNSCC25_P4_D02_S230_comb,Fibroblast
HNSCC25_P12_D12_S144_comb,T_cell
HNSCC25_P12_B04_S112_comb,T_cell
HNSCC25_P4_H08_S284_comb,CAF
HNSCC25_P12_H03_S183_comb,T_cell
HNSCC25_P4_E12_S252_comb,malignant
HNSCC22_P5_B11_S215_comb,myofibroblast
HNSCC18_P4_A12_S12_comb,malignant
HNSCC22_P5_C08_S224_comb,myofibroblast
HNSCC22_P5_D11_S239_comb,myofibroblast
HNSCC22_P5_H09_S285_comb,myofibroblast
HNSCC18_P4_H04_S88_comb,malignant
HNSCC18_P4_D10_S46_comb,Mast
HNSCC22_P5_F06_S258_comb,malignant
HNSCC22_P5_C09_S225_comb,malignant
HNSCC18_P4_G09_S81_comb,malignant
HNSCC18_P4_E01_S49_comb,malignant
HNSCC22_P5_C04_S220_comb,malignant
HNSCC22_P5_A04_S196_comb,malignant
HNSCC18_P4_E07_S55_comb,malignant
HNSCC18_P4_C07_S31_comb,malignant
HNSCC18_P4_A11_S11_comb,Mast
HNSCC22_P5_A12_S204_comb,malignant
HNSCC22_P5_D06_S234_comb,malignant
HNSCC22_P5_F10_S262_comb,myofibroblast
HNSCC22_P5_H12_S288_comb,malignant
HNSCC22_P5_D12_S240_comb,malignant
HNSCC18_P4_E02_S50_comb,malignant
HNSCC22_P5_A11_S203_comb,CAF
HNSCC18_P4_C12_S36_comb,CAF
HNSCC22_P5_A08_S200_comb,malignant
HNSCC22_P5_H11_S287_comb,malignant
HNSCC18_P4_F05_S65_comb,malignant
HNSCC22_P5_C05_S221_comb,malignant
HNSCC18_P4_C08_S32_comb,malignant
HNSCC18_P4_G03_S75_comb,malignant
HNSCC22_P5_E02_S242_comb,Mast
HNSCC22_P5_A07_S199_comb,malignant
HNSCC18_P4_A05_S5_comb,Mast
HNSCC22_P5_B02_S206_comb,malignant
HNSCC22_P5_B04_S208_comb,myofibroblast
HNSCC22_P5_A05_S197_comb,malignant
HNSCC18_P4_F04_S64_comb,malignant
HNSCC18_P4_C06_S30_comb,malignant
HNSCC22_P5_G02_S266_comb,malignant
HNSCC22_P5_C01_S217_comb,malignant
HNSCC22_P5_G03_S267_comb,malignant
HNSCC22_P5_D05_S233_comb,malignant
HNSCC18_P4_F08_S68_comb,malignant
HNSCC22_P5_F09_S261_comb,malignant
HNSCC18_P4_D08_S44_comb,malignant
HNSCC18_P4_E09_S57_comb,malignant
HNSCC18_P4_H01_S85_comb,malignant
HNSCC22_P5_H06_S282_comb,malignant
HNSCC22_P5_B03_S207_comb,malignant
HNSCC22_P5_F04_S256_comb,myofibroblast
HNSCC22_P5_D09_S237_comb,malignant
HNSCC22_P5_F12_S264_comb,malignant
HNSCC22_P5_C11_S227_comb,Mast
HNSCC22_P5_H03_S279_comb,malignant
HNSCC18_P4_F12_S72_comb,malignant
HNSCC22_P5_B05_S209_comb,malignant
HNSCC18_P4_B11_S23_comb,malignant
HNSCC22_P5_A10_S202_comb,malignant
HNSCC18_P4_A07_S7_comb,malignant
HNSCC18_P4_G07_S79_comb,malignant
HNSCC18_P4_E06_S54_comb,malignant
HNSCC18_P4_B12_S24_comb,malignant
HNSCC22_P5_A06_S198_comb,malignant
HNSCC18_P4_D09_S45_comb,malignant
HNSCC22_P5_D03_S231_comb,CAF
HNSCC18_P4_C10_S34_comb,malignant
HNSCC22_P5_C06_S222_comb,malignant
HNSCC22_P5_G07_S271_comb,malignant
HNSCC22_P5_C12_S228_comb,malignant
HNSCC22_P5_F05_S257_comb,CAF
HNSCC18_P4_C04_S28_comb,malignant
HNSCC18_P4_H05_S89_comb,malignant
HNSCC22_P5_E10_S250_comb,malignant
HNSCC22_P5_E06_S246_comb,malignant
HNSCC22_P5_E04_S244_comb,malignant
HNSCC22_P5_B07_S211_comb,malignant
HNSCC22_P5_G08_S272_comb,malignant
HNSCC18_P4_B09_S21_comb,CAF
HNSCC18_P4_D02_S38_comb,malignant
HNSCC18_P4_G12_S84_comb,malignant
HNSCC22_P5_E07_S247_comb,malignant
HNSCC18_P4_F11_S71_comb,malignant
HNSCC22_P5_D01_S229_comb,malignant
HNSCC22_P5_A01_S193_comb,malignant
HNSCC18_P4_H11_S95_comb,malignant
HNSCC22_P5_A09_S201_comb,myofibroblast
HNSCC22_P5_G04_S268_comb,malignant
HNSCC18_P4_G04_S76_comb,malignant
HNSCC18_P4_H12_S96_comb,malignant
HNSCC22_P5_D08_S236_comb,malignant
HNSCC18_P4_C01_S25_comb,malignant
HNSCC22_P5_F02_S254_comb,malignant
HNSCC22_P5_H01_S277_comb,malignant
HNSCC18_P4_C11_S35_comb,malignant
HNSCC22_P5_F11_S263_comb,malignant
HNSCC22_P5_D02_S230_comb,malignant
HNSCC18_P4_F01_S61_comb,malignant
HNSCC18_P4_D06_S42_comb,malignant
HNSCC18_P4_G11_S83_comb,malignant
HNSCC22_P5_G11_S275_comb,myofibroblast
HNSCC22_P5_C10_S226_comb,malignant
HNSCC18_P4_C02_S26_comb,malignant
HNSCC18_P4_A03_S3_comb,myofibroblast
HNSCC22_P5_F03_S255_comb,malignant
HNSCC18_P4_F10_S70_comb,malignant
HNSCC18_P4_E04_S52_comb,malignant
HNSCC22_P5_E09_S249_comb,malignant
HNSCC22_P5_F07_S259_comb,malignant
HNSCC18_P4_C09_S33_comb,malignant
HNSCC18_P4_F03_S63_comb,malignant
HNSCC18_P4_H10_S94_comb,malignant
HNSCC22_P5_E08_S248_comb,malignant
HNSCC18_P4_G02_S74_comb,malignant
HNSCC22_P5_E05_S245_comb,malignant
HNSCC22_P5_F01_S253_comb,malignant
HNSCC22_P5_B12_S216_comb,malignant
HNSCC22_P5_G05_S269_comb,malignant
HNSCC18_P4_B08_S20_comb,malignant
HNSCC18_P4_A09_S9_comb,malignant
HNSCC22_P5_G01_S265_comb,myofibroblast
HNSCC22_P5_B10_S214_comb,malignant
HNSCC22_P5_B09_S213_comb,malignant
HNSCC22_P5_G12_S276_comb,malignant
HNSCC22_P5_E03_S243_comb,malignant
HNSCC18_P4_F07_S67_comb,malignant
HNSCC22_P5_E01_S241_comb,malignant
HNSCC18_P4_E03_S51_comb,malignant
HNSCC18_P4_H02_S86_comb,malignant
HNSCC18_P4_H08_S92_comb,malignant
HNSCC22_P5_H02_S278_comb,malignant
HNSCC22_P5_H07_S283_comb,malignant
HNSCC18_P4_D05_S41_comb,malignant
HNSCC18_P4_C03_S27_comb,malignant
HNSCC22_P5_E11_S251_comb,myofibroblast
HNSCC22_P5_H05_S281_comb,malignant
HNSCC18_P4_E08_S56_comb,malignant
HNSCC22_P5_B06_S210_comb,malignant
HNSCC22_P5_H04_S280_comb,malignant
HNSCC18_P4_E12_S60_comb,malignant
HNSCC22_P5_B08_S212_comb,malignant
HNSCC22_P5_C03_S219_comb,malignant
HNSCC22_P5_D07_S235_comb,myofibroblast
HNSCC18_P4_B10_S22_comb,malignant
HNSCC22_P5_C07_S223_comb,malignant
HNSCC22_P5_H08_S284_comb,malignant
HNSCC25_P3_B03_S111_comb,myofibroblast
HNSCC25_P3_E03_S147_comb,malignant
HNSCC25_P3_C12_S132_comb,malignant
HNSCC25_P3_B10_S118_comb,myofibroblast
HNSCC25_P3_A05_S101_comb,myofibroblast
HNSCC25_P3_H04_S184_comb,myofibroblast
HNSCC25_P3_E08_S152_comb,CAF
HNSCC25_P3_F03_S159_comb,Fibroblast
HNSCC25_P3_H12_S192_comb,malignant
HNSCC25_P3_D03_S135_comb,Mast
HNSCC25_P3_F07_S163_comb,malignant
HNSCC25_P3_D07_S139_comb,malignant
HNSCC25_P3_F09_S165_comb,myofibroblast
HNSCC25_P3_D04_S136_comb,malignant
HNSCC25_P3_D08_S140_comb,malignant
HNSCC25_P3_C06_S126_comb,CAF
HNSCC25_P3_H03_S183_comb,malignant
HNSCC25_P3_G11_S179_comb,malignant
HNSCC25_P3_D05_S137_comb,malignant
HNSCC25_P3_E10_S154_comb,CAF
HNSCC25_P3_G02_S170_comb,Fibroblast
HNSCC25_P3_G12_S180_comb,malignant
HNSCC25_P3_B04_S112_comb,CAF
HNSCC25_P3_C02_S122_comb,myofibroblast
HNSCC25_P3_G05_S173_comb,CAF
HNSCC25_P3_B07_S115_comb,malignant
HNSCC25_P3_H10_S190_comb,malignant
HNSCC25_P3_G06_S174_comb,myocyte
HNSCC25_P3_E07_S151_comb,malignant
HNSCC25_P3_C11_S131_comb,Dendritic
HNSCC25_P3_E05_S149_comb,malignant
HNSCC25_P3_C05_S125_comb,myofibroblast
HNSCC25_P3_F05_S161_comb,T_cell
HNSCC25_P3_B01_S109_comb,malignant
HNSCC25_P3_A06_S102_comb,Mast
HNSCC25_P3_A11_S107_comb,CAF
HNSCC25_P3_A09_S105_comb,malignant
HNSCC25_P3_F08_S164_comb,malignant
HNSCC25_P3_D11_S143_comb,myofibroblast
HNSCC25_P3_B06_S114_comb,CAF
HNSCC25_P3_G10_S178_comb,malignant
HNSCC25_P3_H07_S187_comb,malignant
HNSCC25_P3_A07_S103_comb,malignant
HNSCC25_P3_E11_S155_comb,malignant
HNSCC25_P3_C08_S128_comb,myofibroblast
HNSCC25_P3_D02_S134_comb,myofibroblast
HNSCC25_P3_E06_S150_comb,CAF
HNSCC25_P3_H09_S189_comb,malignant
HNSCC25_P3_B12_S120_comb,myocyte
HNSCC25_P3_B11_S119_comb,CAF
HNSCC25_P3_D09_S141_comb,myofibroblast
HNSCC25_P3_A02_S98_comb,malignant
HNSCC25_P3_E01_S145_comb,malignant
HNSCC25_P3_A01_S97_comb,malignant
HNSCC25_P3_C07_S127_comb,CAF
HNSCC25_P3_D10_S142_comb,myofibroblast
HNSCC25_P3_G09_S177_comb,malignant
HNSCC25_P3_C09_S129_comb,myofibroblast
HNSCC25_P3_B08_S116_comb,malignant
HNSCC25_P3_H05_S185_comb,CAF
HNSCC25_P3_B09_S117_comb,malignant
HNSCC25_P3_E02_S146_comb,CAF
HNSCC25_P3_F02_S158_comb,malignant
HNSCC25_P3_G04_S172_comb,malignant
HNSCC25_P3_D06_S138_comb,malignant
HNSCC25_P3_E12_S156_comb,malignant
HNSCC25_P3_H02_S182_comb,malignant
HNSCC25_P3_E09_S153_comb,myofibroblast
HNSCC25_P3_F04_S160_comb,myocyte
HNSCC25_P3_D01_S133_comb,myofibroblast
HNSCC25_P3_A03_S99_comb,myofibroblast
HNSCC25_P3_A04_S100_comb,myocyte
HNSCC25_P3_F12_S168_comb,Mast
HNSCC25_P3_F10_S166_comb,malignant
HNSCC28_P2_A12_S12_comb,myocyte
HNSCC28_P2_A09_S9_comb,myofibroblast
HNSCC28_P2_C06_S30_comb,CAF
HNSCC28_P1_G09_S81_comb,myofibroblast
HNSCC28_P2_H06_S90_comb,myofibroblast
HNSCC28_P1_E11_S59_comb,myofibroblast
HNSCC28_P1_D11_S47_comb,CAF
HNSCC28_P1_F01_S61_comb,myofibroblast
HNSCC28_P1_G12_S84_comb,CAF
HNSCC28_P2_E11_S59_comb,CAF
HNSCC28_P1_D01_S37_comb,CAF
HNSCC28_P2_H01_S85_comb,myofibroblast
HNSCC28_P1_B09_S21_comb,Fibroblast
HNSCC28_P1_G05_S77_comb,malignant
HNSCC28_P1_G10_S82_comb,malignant
HNSCC28_P1_B04_S16_comb,CAF
HNSCC28_P1_H04_S88_comb,Fibroblast
HNSCC28_P1_F12_S72_comb,CAF
HNSCC28_P1_E02_S50_comb,myofibroblast
HNSCC28_P2_H05_S89_comb,CAF
HNSCC28_P2_G10_S82_comb,CAF
HNSCC28_P2_A04_S4_comb,CAF
HNSCC28_P1_E05_S53_comb,Fibroblast
HNSCC28_P1_H11_S95_comb,CAF
HNSCC28_P2_E12_S60_comb,malignant
HNSCC28_P1_G03_S75_comb,Endothelial
HNSCC28_P2_F09_S69_comb,malignant
HNSCC28_P2_F08_S68_comb,Fibroblast
HNSCC28_P1_A09_S9_comb,malignant
HNSCC28_P1_A08_S8_comb,Endothelial
HNSCC28_P2_H02_S86_comb,myofibroblast
HNSCC28_P1_B10_S22_comb,myofibroblast
HNSCC28_P1_F02_S62_comb,myofibroblast
HNSCC28_P2_E03_S51_comb,Fibroblast
HNSCC28_P1_H01_S85_comb,CAF
HNSCC28_P2_E02_S50_comb,Fibroblast
HNSCC28_P1_B01_S13_comb,myofibroblast
HNSCC28_P1_C08_S32_comb,Fibroblast
HNSCC28_P1_D05_S41_comb,CAF
HNSCC28_P2_B12_S24_comb,malignant
HNSCC28_P2_G04_S76_comb,malignant
HNSCC28_P2_E08_S56_comb,myofibroblast
HNSCC28_P2_G09_S81_comb,myofibroblast
HNSCC28_P2_C11_S35_comb,CAF
HNSCC28_P1_F03_S63_comb,myofibroblast
HNSCC28_P1_C09_S33_comb,myofibroblast
HNSCC28_P2_G06_S78_comb,Fibroblast
HNSCC28_P2_B06_S18_comb,myofibroblast
HNSCC28_P2_H09_S93_comb,malignant
HNSCC28_P1_B12_S24_comb,Endothelial
HNSCC28_P2_B10_S22_comb,Fibroblast
HNSCC28_P2_A01_S1_comb,myofibroblast
HNSCC28_P1_A05_S5_comb,Endothelial
HNSCC28_P1_E10_S58_comb,Fibroblast
HNSCC28_P1_G02_S74_comb,myofibroblast
HNSCC28_P2_F06_S66_comb,myofibroblast
HNSCC28_P1_D09_S45_comb,CAF
HNSCC28_P2_E07_S55_comb,CAF
HNSCC28_P2_A02_S2_comb,malignant
HNSCC28_P2_G01_S73_comb,Fibroblast
HNSCC28_P1_D04_S40_comb,malignant
HNSCC28_P2_G07_S79_comb,myocyte
HNSCC28_P2_F05_S65_comb,Fibroblast
HNSCC28_P2_F03_S63_comb,Fibroblast
HNSCC28_P1_A01_S1_comb,CAF
HNSCC28_P1_H12_S96_comb,Fibroblast
HNSCC28_P1_E08_S56_comb,CAF
HNSCC28_P1_F07_S67_comb,CAF
HNSCC28_P1_F11_S71_comb,myofibroblast
HNSCC28_P2_H03_S87_comb,myofibroblast
HNSCC28_P1_F10_S70_comb,myofibroblast
HNSCC28_P2_D12_S48_comb,myofibroblast
HNSCC28_P1_B05_S17_comb,CAF
HNSCC28_P1_D03_S39_comb,myofibroblast
HNSCC28_P1_C05_S29_comb,myofibroblast
HNSCC28_P1_H03_S87_comb,myofibroblast
HNSCC28_P2_E06_S54_comb,CAF
HNSCC28_P2_H04_S88_comb,Fibroblast
HNSCC28_P2_D02_S38_comb,myocyte
HNSCC28_P1_H09_S93_comb,CAF
HNSCC28_P2_A11_S11_comb,Fibroblast
HNSCC28_P2_E05_S53_comb,myofibroblast
HNSCC28_P1_E04_S52_comb,myofibroblast
HNSCC28_P2_A05_S5_comb,CAF
HNSCC28_P1_B03_S15_comb,malignant
HNSCC28_P2_E09_S57_comb,myofibroblast
HNSCC28_P2_D06_S42_comb,myofibroblast
HNSCC28_P2_E01_S49_comb,CAF
HNSCC28_P2_B08_S20_comb,CAF
HNSCC28_P1_D08_S44_comb,CAF
HNSCC28_P1_H05_S89_comb,CAF
HNSCC28_P1_D07_S43_comb,CAF
HNSCC28_P1_A12_S12_comb,malignant
HNSCC28_P2_B02_S14_comb,CAF
HNSCC28_P1_A10_S10_comb,myofibroblast
HNSCC28_P1_C01_S25_comb,myofibroblast
HNSCC28_P2_D08_S44_comb,myofibroblast
HNSCC28_P2_B11_S23_comb,Endothelial
HNSCC28_P2_D11_S47_comb,malignant
HNSCC28_P2_D05_S41_comb,myofibroblast
HNSCC28_P1_F04_S64_comb,CAF
HNSCC28_P2_H11_S95_comb,myofibroblast
HNSCC28_P2_H07_S91_comb,myofibroblast
HNSCC28_P1_A03_S3_comb,CAF
HNSCC28_P1_C02_S26_comb,CAF
HNSCC28_P2_D09_S45_comb,myofibroblast
HNSCC28_P1_E01_S49_comb,myofibroblast
HNSCC28_P2_D03_S39_comb,myofibroblast
HNSCC28_P2_C03_S27_comb,malignant
HNSCC28_P2_A03_S3_comb,Endothelial
HNSCC28_P2_C01_S25_comb,myofibroblast
HNSCC28_P2_D07_S43_comb,myofibroblast
HNSCC28_P2_G03_S75_comb,myofibroblast
HNSCC28_P2_B07_S19_comb,malignant
HNSCC28_P2_D04_S40_comb,Fibroblast
HNSCC28_P1_D12_S48_comb,myofibroblast
HNSCC28_P1_F08_S68_comb,myofibroblast
HNSCC28_P1_F05_S65_comb,Fibroblast
HNSCC28_P1_E12_S60_comb,myofibroblast
HNSCC28_P1_A11_S11_comb,myofibroblast
HNSCC28_P2_F04_S64_comb,CAF
HNSCC28_P2_B03_S15_comb,myofibroblast
HNSCC28_P1_B07_S19_comb,malignant
HNSCC28_P2_F07_S67_comb,CAF
HNSCC28_P1_A02_S2_comb,CAF
HNSCC28_P2_B04_S16_comb,malignant
HNSCC28_P2_G05_S77_comb,myofibroblast
HNSCC28_P2_C12_S36_comb,myofibroblast
HNSCC28_P1_H08_S92_comb,myofibroblast
HNSCC28_P2_C07_S31_comb,Fibroblast
HNSCC28_P1_H02_S86_comb,Fibroblast
HNSCC28_P1_E03_S51_comb,myofibroblast
HNSCC28_P2_G08_S80_comb,Fibroblast
HNSCC28_P2_H08_S92_comb,myofibroblast
HNSCC28_P2_G02_S74_comb,Fibroblast
HNSCC28_P1_G04_S76_comb,malignant
HNSCC28_P2_G12_S84_comb,myofibroblast
HNSCC28_P1_G11_S83_comb,myofibroblast
HNSCC28_P2_A07_S7_comb,Endothelial
HNSCC28_P2_C10_S34_comb,CAF
HNSCC28_P2_E10_S58_comb,Endothelial
HNSCC28_P2_A08_S8_comb,malignant
HNSCC28_P2_C02_S26_comb,CAF
HNSCC26_P1_pri_G10_S178_comb,malignant
HNSCC26_P1_pri_F06_S162_comb,malignant
HNSCC26_P1_pri_C12_S132_comb,CAF
HNSCC26_P1_pri_B06_S114_comb,CAF
HNSCC26_P1_pri_D11_S143_comb,myofibroblast
HNSCC26_P1_pri_G02_S170_comb,malignant
HNSCC26_P1_pri_B02_S110_comb,myofibroblast
HNSCC26_P1_pri_E03_S147_comb,Dendritic
HNSCC26_P1_pri_H09_S189_comb,malignant
HNSCC26_P1_pri_D01_S133_comb,myofibroblast
HNSCC26_P1_pri_H03_S183_comb,malignant
HNSCC26_P1_pri_H11_S191_comb,CAF
HNSCC26_P1_pri_E07_S151_comb,malignant
HNSCC26_P1_pri_G01_S169_comb,malignant
HNSCC26_P1_pri_E09_S153_comb,malignant
HNSCC26_P1_pri_C01_S121_comb,malignant
HNSCC26_P1_pri_E06_S150_comb,malignant
HNSCC26_P1_pri_D12_S144_comb,malignant
HNSCC26_P1_pri_F07_S163_comb,malignant
HNSCC26_P1_pri_B09_S117_comb,malignant
HNSCC26_P1_pri_H01_S181_comb,CAF
HNSCC26_P1_pri_D04_S136_comb,malignant
HNSCC26_P1_pri_C06_S126_comb,malignant
HNSCC26_P1_pri_H05_S185_comb,malignant
HNSCC26_P1_pri_F11_S167_comb,CAF
HNSCC26_P1_pri_A01_S97_comb,malignant
HNSCC26_P1_pri_A05_S101_comb,malignant
HNSCC22_P4_A12_S12_comb,malignant
HNSCC25_P1_pri_C02_S26_comb,malignant
HNSCC22_P4_C04_S28_comb,malignant
HNSCC25_P1_pri_B09_S21_comb,Fibroblast
HNSCC22_P4_B03_S15_comb,myofibroblast
HNSCC22_P2_pri_F01_S253_comb,myofibroblast
HNSCC22_P4_H06_S90_comb,myofibroblast
HNSCC22_P4_C05_S29_comb,malignant
HNSCC22_P4_H07_S91_comb,malignant
HNSCC22_P4_D03_S39_comb,myofibroblast
HNSCC22_P2_pri_G06_S270_comb,myofibroblast
HNSCC25_P1_pri_C09_S33_comb,CAF
HNSCC25_P1_pri_G11_S83_comb,malignant
HNSCC25_P1_pri_G01_S73_comb,malignant
HNSCC25_P1_pri_B05_S17_comb,malignant
HNSCC22_P4_C11_S35_comb,Mast
HNSCC22_P4_G10_S82_comb,malignant
HNSCC22_P4_E06_S54_comb,malignant
HNSCC22_P2_pri_F09_S261_comb,Fibroblast
HNSCC22_P4_H11_S95_comb,myofibroblast
HNSCC22_P4_E07_S55_comb,malignant
HNSCC22_P4_H10_S94_comb,malignant
HNSCC22_P2_pri_G08_S272_comb,myofibroblast
HNSCC25_P1_pri_H04_S88_comb,CAF
HNSCC22_P2_pri_H04_S280_comb,myofibroblast
HNSCC25_P1_pri_C07_S31_comb,malignant
HNSCC22_P4_F05_S65_comb,myofibroblast
HNSCC25_P1_pri_F01_S61_comb,Dendritic
HNSCC25_P1_pri_E10_S58_comb,CAF
HNSCC25_P1_pri_A06_S6_comb,malignant
HNSCC22_P2_pri_B08_S212_comb,Mast
HNSCC25_P1_pri_C01_S25_comb,malignant
HNSCC22_P4_G07_S79_comb,myofibroblast
HNSCC22_P2_pri_H12_S288_comb,Mast
HNSCC22_P4_G03_S75_comb,malignant
HNSCC25_P1_pri_E04_S52_comb,malignant
HNSCC25_P1_pri_H05_S89_comb,malignant
HNSCC25_P1_pri_F12_S72_comb,malignant
HNSCC25_P1_pri_A09_S9_comb,malignant
HNSCC22_P4_G01_S73_comb,myofibroblast
HNSCC22_P4_B02_S14_comb,Mast
HNSCC22_P4_D10_S46_comb,malignant
HNSCC25_P1_pri_E03_S51_comb,malignant
HNSCC22_P2_pri_D09_S237_comb,Mast
HNSCC22_P4_H09_S93_comb,malignant
HNSCC25_P1_pri_A05_S5_comb,myofibroblast
HNSCC22_P4_C06_S30_comb,myofibroblast
HNSCC22_P4_D01_S37_comb,malignant
HNSCC22_P2_pri_A03_S195_comb,myofibroblast
HNSCC25_P1_pri_B04_S16_comb,malignant
HNSCC25_P1_pri_G06_S78_comb,CAF
HNSCC25_P1_pri_B12_S24_comb,malignant
HNSCC25_P1_pri_E05_S53_comb,malignant
HNSCC22_P4_C12_S36_comb,Mast
HNSCC25_P1_pri_H12_S96_comb,malignant
HNSCC22_P4_G11_S83_comb,malignant
HNSCC22_P2_pri_E02_S242_comb,CAF
HNSCC22_P4_B11_S23_comb,malignant
HNSCC22_P4_B05_S17_comb,malignant
HNSCC22_P2_pri_D01_S229_comb,Mast
HNSCC25_P1_pri_D12_S48_comb,CAF
HNSCC25_P1_pri_A10_S10_comb,Fibroblast
HNSCC22_P2_pri_B12_S216_comb,malignant
HNSCC22_P4_H02_S86_comb,malignant
HNSCC25_P1_pri_F06_S66_comb,CAF
HNSCC22_P4_B07_S19_comb,malignant
HNSCC22_P4_E12_S60_comb,myofibroblast
HNSCC22_P2_pri_H05_S281_comb,Dendritic
HNSCC22_P2_pri_C09_S225_comb,Endothelial
HNSCC25_P1_pri_G10_S82_comb,Fibroblast
HNSCC22_P4_A07_S7_comb,malignant
HNSCC25_P1_pri_F04_S64_comb,malignant
HNSCC22_P2_pri_C07_S223_comb,Mast
HNSCC22_P2_pri_B03_S207_comb,CAF
HNSCC22_P4_A09_S9_comb,malignant
HNSCC22_P4_B09_S21_comb,malignant
HNSCC22_P2_pri_E07_S247_comb,myofibroblast
HNSCC22_P2_pri_D04_S232_comb,myofibroblast
HNSCC22_P2_pri_F03_S255_comb,Mast
HNSCC22_P4_F11_S71_comb,malignant
HNSCC22_P4_A04_S4_comb,myofibroblast
HNSCC22_P4_C08_S32_comb,malignant
HNSCC25_P1_pri_B07_S19_comb,malignant
HNSCC22_P4_D04_S40_comb,malignant
HNSCC22_P2_pri_E10_S250_comb,myofibroblast
HNSCC22_P4_E08_S56_comb,malignant
HNSCC22_P4_F03_S63_comb,malignant
HNSCC22_P4_H12_S96_comb,malignant
HNSCC22_P4_D05_S41_comb,myofibroblast
HNSCC22_P4_E03_S51_comb,malignant
HNSCC22_P4_D02_S38_comb,myofibroblast
HNSCC22_P4_E10_S58_comb,malignant
HNSCC25_P1_pri_H07_S91_comb,malignant
HNSCC22_P4_F07_S67_comb,malignant
HNSCC22_P4_D12_S48_comb,myofibroblast
HNSCC25_P1_pri_H09_S93_comb,myofibroblast
HNSCC22_P2_pri_E04_S244_comb,myofibroblast
HNSCC25_P1_pri_F08_S68_comb,malignant
HNSCC22_P4_B06_S18_comb,myofibroblast
HNSCC25_P1_pri_F11_S71_comb,malignant
HNSCC22_P2_pri_G04_S268_comb,Mast
HNSCC22_P4_G02_S74_comb,malignant
HNSCC22_P2_pri_B09_S213_comb,malignant
HNSCC25_P1_pri_G08_S80_comb,malignant
HNSCC22_P4_C10_S34_comb,myofibroblast
HNSCC22_P2_pri_G05_S269_comb,Mast
HNSCC22_P4_H08_S92_comb,malignant
HNSCC22_P4_E11_S59_comb,malignant
HNSCC25_P1_pri_A11_S11_comb,CAF
HNSCC22_P2_pri_A05_S197_comb,CAF
HNSCC22_P4_C03_S27_comb,malignant
HNSCC25_P1_pri_H11_S95_comb,malignant
HNSCC22_P4_F09_S69_comb,malignant
HNSCC25_P1_pri_E11_S59_comb,malignant
HNSCC22_P2_pri_B06_S210_comb,Mast
HNSCC22_P4_A06_S6_comb,Mast
HNSCC22_P4_A08_S8_comb,myofibroblast
HNSCC22_P2_pri_D11_S239_comb,malignant
HNSCC22_P4_B08_S20_comb,Mast
HNSCC22_P4_F08_S68_comb,myofibroblast
HNSCC25_P1_pri_F02_S62_comb,myofibroblast
HNSCC22_P4_F06_S66_comb,malignant
HNSCC25_P1_pri_G12_S84_comb,malignant
HNSCC22_P4_G09_S81_comb,myofibroblast
HNSCC22_P4_E09_S57_comb,malignant
HNSCC25_P1_pri_F03_S63_comb,malignant
HNSCC22_P4_D09_S45_comb,malignant
HNSCC22_P4_B12_S24_comb,malignant
HNSCC22_P4_F04_S64_comb,myofibroblast
HNSCC22_P4_A11_S11_comb,malignant
HNSCC25_P1_pri_F10_S70_comb,malignant
HNSCC22_P4_D08_S44_comb,malignant
HNSCC22_P2_pri_C01_S217_comb,myofibroblast
HNSCC22_P2_pri_H07_S283_comb,myofibroblast
HNSCC22_P4_E02_S50_comb,malignant
HNSCC22_P4_D07_S43_comb,myofibroblast
HNSCC25_P1_pri_G07_S79_comb,malignant
HNSCC22_P2_pri_C12_S228_comb,malignant
HNSCC25_P1_pri_G03_S75_comb,malignant
HNSCC22_P2_pri_F11_S263_comb,Fibroblast
HNSCC22_P2_pri_C08_S224_comb,Mast
HNSCC22_P4_F01_S61_comb,malignant
HNSCC22_P2_pri_E09_S249_comb,malignant
HNSCC22_P2_pri_B05_S209_comb,Mast
HNSCC22_P4_D11_S47_comb,malignant
HNSCC22_P2_pri_D07_S235_comb,Mast
HNSCC22_P4_C09_S33_comb,malignant
HNSCC25_P1_pri_G05_S77_comb,malignant
HNSCC22_P4_C07_S31_comb,malignant
HNSCC25_P1_pri_C03_S27_comb,malignant
HNSCC25_P1_pri_F05_S65_comb,Dendritic
HNSCC22_P4_H04_S88_comb,malignant
HNSCC22_P4_G05_S77_comb,malignant
HNSCC22_P4_B04_S16_comb,Mast
HNSCC25_P1_pri_C10_S34_comb,myofibroblast
HNSCC22_P4_E04_S52_comb,myofibroblast
